area_code,imd_decile
LSOA::E01001017,10
LSOA::E01001018,10
LSOA::E01001019,10
LSOA::E01001020,9
LSOA::E01001021,2
LSOA::E01001022,9
LSOA::E01001023,5
LSOA::E01001024,8
LSOA::E01001025,10
LSOA::E01001026,7
LSOA::E01001027,10
LSOA::E01001028,10
LSOA::E01001029,7
LSOA::E01001030,10
LSOA::E01001031,10
LSOA::E01001032,10
LSOA::E01001033,5
LSOA::E01001034,6
LSOA::E01001035,5
LSOA::E01001036,9
LSOA::E01001037,4
LSOA::E01001038,5
LSOA::E01001039,9
LSOA::E01001040,5
LSOA::E01001041,3
LSOA::E01001042,2
LSOA::E01001044,8
LSOA::E01001046,8
LSOA::E01001047,4
LSOA::E01001049,9
LSOA::E01001050,5
LSOA::E01001051,2
LSOA::E01001052,2
LSOA::E01001053,2
LSOA::E01001054,2
LSOA::E01001055,2
LSOA::E01001056,1
LSOA::E01001057,1
LSOA::E01001058,7
LSOA::E01001059,5
LSOA::E01001060,5
LSOA::E01001061,4
LSOA::E01001062,7
LSOA::E01001063,9
LSOA::E01001064,8
LSOA::E01001065,6
LSOA::E01001066,2
LSOA::E01001067,10
LSOA::E01001068,6
LSOA::E01001069,10
LSOA::E01001070,6
LSOA::E01001071,8
LSOA::E01001072,10
LSOA::E01001073,7
LSOA::E01001074,5
LSOA::E01001075,7
LSOA::E01001076,2
LSOA::E01001077,6
LSOA::E01001078,2
LSOA::E01001079,2
LSOA::E01001080,1
LSOA::E01001081,3
LSOA::E01001082,2
LSOA::E01001083,8
LSOA::E01001084,8
LSOA::E01001085,5
LSOA::E01001086,6
LSOA::E01001087,3
LSOA::E01001088,6
LSOA::E01001089,3
LSOA::E01001090,4
LSOA::E01001091,6
LSOA::E01001092,5
LSOA::E01001093,7
LSOA::E01001094,10
LSOA::E01001095,5
LSOA::E01001096,10
LSOA::E01001097,3
LSOA::E01001098,10
LSOA::E01001099,5
LSOA::E01001100,9
LSOA::E01001101,10
LSOA::E01001102,10
LSOA::E01001103,10
LSOA::E01001104,10
LSOA::E01001105,7
LSOA::E01001106,7
LSOA::E01001107,10
LSOA::E01001108,10
LSOA::E01001109,3
LSOA::E01001110,2
LSOA::E01001111,4
LSOA::E01001112,3
LSOA::E01001113,3
LSOA::E01001114,2
LSOA::E01001115,2
LSOA::E01001116,3
LSOA::E01001118,2
LSOA::E01001119,10
LSOA::E01001120,9
LSOA::E01001121,10
LSOA::E01001122,10
LSOA::E01001123,10
LSOA::E01001124,10
LSOA::E01001125,7
LSOA::E01001126,9
LSOA::E01001127,9
LSOA::E01001128,2
LSOA::E01001129,10
LSOA::E01001130,2
LSOA::E01001131,7
LSOA::E01001132,8
LSOA::E01001133,8
LSOA::E01001134,9
LSOA::E01001135,9
LSOA::E01001136,3
LSOA::E01001137,6
LSOA::E01001138,5
LSOA::E01001139,5
LSOA::E01001140,5
LSOA::E01001141,3
LSOA::E01001142,5
LSOA::E01001143,3
LSOA::E01001144,3
LSOA::E01001145,2
LSOA::E01001146,5
LSOA::E01001147,3
LSOA::E01001148,4
LSOA::E01001149,5
LSOA::E01001150,6
LSOA::E01001151,2
LSOA::E01001152,2
LSOA::E01001153,4
LSOA::E01001154,2
LSOA::E01001155,1
LSOA::E01001156,4
LSOA::E01001157,5
LSOA::E01001158,5
LSOA::E01001159,7
LSOA::E01001160,6
LSOA::E01001161,2
LSOA::E01001162,4
LSOA::E01001163,6
LSOA::E01001164,4
LSOA::E01001165,4
LSOA::E01001166,2
LSOA::E01001167,5
LSOA::E01001168,4
LSOA::E01001169,3
LSOA::E01001170,3
LSOA::E01001171,4
LSOA::E01001172,2
LSOA::E01001173,5
LSOA::E01001174,4
LSOA::E01001175,3
LSOA::E01001176,3
LSOA::E01001177,3
LSOA::E01001178,1
LSOA::E01001179,4
LSOA::E01001180,3
LSOA::E01001181,1
LSOA::E01001182,4
LSOA::E01001183,3
LSOA::E01001184,6
LSOA::E01001185,4
LSOA::E01001186,3
LSOA::E01001187,4
LSOA::E01001188,3
LSOA::E01001189,6
LSOA::E01001190,5
LSOA::E01001191,2
LSOA::E01001192,4
LSOA::E01001193,3
LSOA::E01001194,6
LSOA::E01001195,5
LSOA::E01001196,2
LSOA::E01001197,4
LSOA::E01001198,6
LSOA::E01001199,3
LSOA::E01001200,6
LSOA::E01001201,6
LSOA::E01001202,2
LSOA::E01001203,2
LSOA::E01001204,6
LSOA::E01001205,2
LSOA::E01001206,1
LSOA::E01001207,6
LSOA::E01001208,8
LSOA::E01001209,8
LSOA::E01001210,1
LSOA::E01001211,7
